,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away
0,1,Hamburger SV,2,1,Fortuna Dusseldorf,2.16,3.40,3.10
1,1,Jahn Regensburg,1,1,Nurnberg,2.91,3.37,2.25
2,1,SV Sandhausen,3,2,Darmstadt,2.39,3.21,2.86
3,1,Wurzburger Kickers,0,3,Erzgebirge Aue,2.13,3.39,3.16
4,1,Hannover 96,2,0,Karlsruher SC,1.64,3.76,4.85
5,1,Greuther Furth,1,1,VfL Osnabruck,2.05,3.40,3.33
6,1,Heidenheimer,2,0,Eintracht Braunschweig,2.02,3.34,3.53
7,1,Holstein Kiel,1,0,SC Paderborn 07,2.33,3.44,2.78
8,1,VfL Bochum,2,2,St. Pauli,1.97,3.42,3.54
9,2,VfL Osnabruck,2,1,Hannover 96,3.02,3.30,2.27
10,2,Erzgebirge Aue,1,1,Greuther Furth,2.27,3.36,2.96
11,2,Eintracht Braunschweig,0,0,Holstein Kiel,2.68,3.27,2.49
12,2,Darmstadt,0,0,Jahn Regensburg,2.05,3.43,3.40
13,2,Fortuna Dusseldorf,1,0,Wurzburger Kickers,1.68,3.77,4.56
14,2,St. Pauli,4,2,Heidenheimer,2.59,3.20,2.65
15,2,Karlsruher SC,0,1,VfL Bochum,2.45,3.24,2.80
16,2,Nurnberg,1,0,SV Sandhausen,2.17,3.33,3.19
17,2,SC Paderborn 07,3,4,Hamburger SV,2.71,3.41,2.39
18,3,SV Sandhausen,1,0,St. Pauli,2.05,3.36,3.44
19,3,VfL Bochum,0,0,VfL Osnabruck,1.98,3.42,3.58
20,3,Jahn Regensburg,1,0,Karlsruher SC,2.36,3.35,2.81
21,3,Hannover 96,4,1,Eintracht Braunschweig,1.78,3.50,4.39
22,3,Heidenheimer,0,0,SC Paderborn 07,2.16,3.40,3.12
23,3,Wurzburger Kickers,2,2,Greuther Furth,2.57,3.40,2.55
24,3,Holstein Kiel,2,1,Fortuna Dusseldorf,2.44,3.49,2.63
25,3,Nurnberg,2,3,Darmstadt,2.27,3.51,2.83
26,3,Hamburger SV,3,0,Erzgebirge Aue,1.57,3.78,5.73
27,4,Greuther Furth,0,1,Hamburger SV,3.81,3.63,1.85
28,4,Karlsruher SC,3,0,SV Sandhausen,2.42,3.24,2.77
29,4,Eintracht Braunschweig,2,1,VfL Bochum,3.19,3.44,2.11
30,4,Wurzburger Kickers,0,2,Holstein Kiel,3.50,3.61,1.94
31,4,Erzgebirge Aue,2,1,Heidenheimer,2.48,3.36,2.65
32,4,Fortuna Dusseldorf,2,2,Jahn Regensburg,1.73,3.72,4.33
33,4,SC Paderborn 07,1,0,Hannover 96,2.94,3.52,2.21
34,4,St. Pauli,2,2,Nurnberg,2.51,3.37,2.61
35,4,VfL Osnabruck,1,1,Darmstadt,2.54,3.37,2.59
10,5,Jahn Regensburg,3,0,Eintracht Braunschweig,2.13,3.38,3.22
11,5,Holstein Kiel,1,3,Greuther Furth,2.02,3.49,3.35
12,5,Darmstadt,2,2,St. Pauli,2.01,3.45,3.43
13,5,Hamburger SV,3,1,Wurzburger Kickers,1.46,4.36,6.19
14,5,Hannover 96,3,0,Fortuna Dusseldorf,1.89,3.63,3.66
15,5,VfL Bochum,2,0,Erzgebirge Aue,1.93,3.48,3.69
16,5,Heidenheimer,1,1,VfL Osnabruck,2.19,3.42,3.07
17,5,SV Sandhausen,1,1,SC Paderborn 07,2.24,3.38,3.01
18,6,Fortuna Dusseldorf,1,0,Heidenheimer,2.09,3.27,3.45
19,6,Hamburger SV,2,2,St. Pauli,1.58,3.81,5.56
20,6,SC Paderborn 07,3,1,Jahn Regensburg,2.06,3.23,3.52
21,6,VfL Osnabruck,2,1,SV Sandhausen,2.34,3.24,2.90
22,6,Erzgebirge Aue,1,1,Holstein Kiel,2.78,3.36,2.38
23,6,Eintracht Braunschweig,3,2,Nurnberg,3.25,3.33,2.14
24,6,Greuther Furth,4,1,Hannover 96,2.98,3.38,2.23
25,6,Karlsruher SC,3,4,Darmstadt,2.52,3.24,2.69
26,6,Wurzburger Kickers,2,3,VfL Bochum,3.66,3.51,1.93
0,7,Heidenheimer,4,1,Wurzburger Kickers,1.67,3.78,4.75
1,7,SV Sandhausen,2,2,Eintracht Braunschweig,1.94,3.51,3.62
2,7,Hannover 96,0,0,Erzgebirge Aue,1.49,4.00,6.29
3,7,Nurnberg,1,1,Fortuna Dusseldorf,2.44,3.28,2.77
4,7,VfL Bochum,0,2,Greuther Furth,2.21,3.38,3.04
5,7,Darmstadt,0,4,SC Paderborn 07,2.24,3.36,2.99
6,7,St. Pauli,0,3,Karlsruher SC,2.44,3.30,2.76
7,7,Jahn Regensburg,2,4,VfL Osnabruck,2.25,3.23,3.05
8,7,Holstein Kiel,1,1,Hamburger SV,2.89,3.38,2.29
9,8,Holstein Kiel,2,2,Heidenheimer,2.20,3.35,3.08
10,8,SC Paderborn 07,2,0,St. Pauli,1.90,3.66,3.56
11,8,Eintracht Braunschweig,1,3,Karlsruher SC,2.66,3.31,2.50
12,8,Fortuna Dusseldorf,1,0,SV Sandhausen,1.93,3.47,3.66
13,8,Wurzburger Kickers,2,1,Hannover 96,3.83,3.72,1.82
14,8,Erzgebirge Aue,3,0,Darmstadt,2.55,3.28,2.61
15,8,Greuther Furth,3,1,Jahn Regensburg,2.06,3.48,3.28
16,8,Hamburger SV,1,3,VfL Bochum,1.71,3.78,4.57
17,8,VfL Osnabruck,1,4,Nurnberg,2.24,3.35,3.01
18,9,Darmstadt,4,0,Eintracht Braunschweig,1.74,3.62,4.50
19,9,St. Pauli,0,1,VfL Osnabruck,2.21,3.35,3.05
20,9,Jahn Regensburg,2,1,Wurzburger Kickers,1.96,3.61,3.44
21,9,SV Sandhausen,1,4,Erzgebirge Aue,2.21,3.32,3.12
22,9,Karlsruher SC,1,0,SC Paderborn 07,2.59,3.32,2.57
23,9,Hannover 96,0,3,Holstein Kiel,2.04,3.44,3.39
24,9,Heidenheimer,3,2,Hamburger SV,3.50,3.39,2.02
25,9,Nurnberg,2,3,Greuther Furth,2.69,3.29,2.51
26,9,VfL Bochum,5,0,Fortuna Dusseldorf,2.24,3.31,3.05
27,10,Fortuna Dusseldorf,3,2,Darmstadt,2.08,3.42,3.31
28,10,Holstein Kiel,3,1,VfL Bochum,2.26,3.39,2.93
29,10,VfL Osnabruck,1,2,Karlsruher SC,2.51,3.23,2.67
30,10,Greuther Furth,0,1,Heidenheimer,2.03,3.49,3.33
31,10,Hamburger SV,0,1,Hannover 96,1.90,3.59,3.71
